PRES,BU,PLOT,BP,SIZE,SIZE(noCM),STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,GROUPS,STEMS(original)
ABRP,1,6,1_6,C (5.1 - 10),C,1,37125,2001,35194,1996,B-C-D (2.6 - 15),1
ABRP,1,6,1_6,D (10.1 - 15),D,1,37125,2001,35194,1996,B-C-D (2.6 - 15),1
ABRP,1,6,1_6,E (15.1 - 20),E,1,37125,2001,35194,1996,E-F-G (15.1 - 30),1
ABRP,1,6,1_6,F (20.1 - 25),F,1,37125,2001,35194,1996,E-F-G (15.1 - 30),1
ABRP,1,6,1_6,G (25.1 - 30),G,0,37125,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,6,1_6,H (30.1 - 35),H,0,37125,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,6,1_6,I (35.1 - 40),I,0,37125,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,6,1_6,J (> 40),J,0,37125,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,7,1_7,B (2.6 - 5),B,1,37125,2001,35194,1996,B-C-D (2.6 - 15),1
ABRP,1,7,1_7,C (5.1 - 10),C,6,37125,2001,35194,1996,B-C-D (2.6 - 15),6
ABRP,1,7,1_7,D (10.1 - 15),D,0,37125,2001,35194,1996,B-C-D (2.6 - 15),0
ABRP,1,7,1_7,E (15.1 - 20),E,0,37125,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,7,1_7,F (20.1 - 25),F,0,37125,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,7,1_7,G (25.1 - 30),G,0,37125,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,7,1_7,H (30.1 - 35),H,0,37125,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,7,1_7,I (35.1 - 40),I,0,37125,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,7,1_7,J (> 40),J,0,37125,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,8,1_8,B (2.6 - 5),B,2,37125,2001,35194,1996,B-C-D (2.6 - 15),2
ABRP,1,8,1_8,C (5.1 - 10),C,2,37125,2001,35194,1996,B-C-D (2.6 - 15),2
ABRP,1,8,1_8,D (10.1 - 15),D,0,37125,2001,35194,1996,B-C-D (2.6 - 15),0
ABRP,1,8,1_8,E (15.1 - 20),E,0,37125,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,8,1_8,F (20.1 - 25),F,0,37125,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,8,1_8,G (25.1 - 30),G,0,37125,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,8,1_8,H (30.1 - 35),H,0,37125,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,8,1_8,I (35.1 - 40),I,0,37125,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,8,1_8,J (> 40),J,0,37125,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,9,1_9,B (2.6 - 5),B,0,37127,2001,35194,1996,B-C-D (2.6 - 15),0
ABRP,1,9,1_9,C (5.1 - 10),C,0,37127,2001,35194,1996,B-C-D (2.6 - 15),0
ABRP,1,9,1_9,D (10.1 - 15),D,1,37127,2001,35194,1996,B-C-D (2.6 - 15),1
ABRP,1,9,1_9,E (15.1 - 20),E,4,37127,2001,35194,1996,E-F-G (15.1 - 30),4
ABRP,1,9,1_9,F (20.1 - 25),F,2,37127,2001,35194,1996,E-F-G (15.1 - 30),2
ABRP,1,9,1_9,G (25.1 - 30),G,0,37127,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,9,1_9,H (30.1 - 35),H,0,37127,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,9,1_9,I (35.1 - 40),I,0,37127,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,9,1_9,J (> 40),J,0,37127,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,1,1_1,B (2.6 - 5),B,0,38582,2005,38188,2004,B-C-D (2.6 - 15),0
ABRP,1,1,1_1,C (5.1 - 10),C,1,38582,2005,38188,2004,B-C-D (2.6 - 15),1
ABRP,1,1,1_1,D (10.1 - 15),D,0,38582,2005,38188,2004,B-C-D (2.6 - 15),0
ABRP,1,1,1_1,E (15.1 - 20),E,1,38582,2005,38188,2004,E-F-G (15.1 - 30),1
ABRP,1,1,1_1,F (20.1 - 25),F,0,38582,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,1,1_1,G (25.1 - 30),G,0,38582,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,1,1_1,H (30.1 - 35),H,0,38582,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,1,1_1,I (35.1 - 40),I,0,38582,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,1,1_1,J (> 40),J,0,38582,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,B (2.6 - 5),B,0,38582,2005,38188,2004,B-C-D (2.6 - 15),0
ABRP,1,2,1_2,C (5.1 - 10),C,1,38582,2005,38188,2004,B-C-D (2.6 - 15),1
ABRP,1,2,1_2,D (10.1 - 15),D,1,38582,2005,38188,2004,B-C-D (2.6 - 15),1
ABRP,1,2,1_2,E (15.1 - 20),E,0,38582,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,F (20.1 - 25),F,0,38582,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,G (25.1 - 30),G,0,38582,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,H (30.1 - 35),H,0,38582,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,I (35.1 - 40),I,0,38582,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,J (> 40),J,0,38582,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,3,1_3,B (2.6 - 5),B,13,38583,2005,38188,2004,B-C-D (2.6 - 15),13
ABRP,1,3,1_3,C (5.1 - 10),C,6,38583,2005,38188,2004,B-C-D (2.6 - 15),6
ABRP,1,3,1_3,D (10.1 - 15),D,0,38583,2005,38188,2004,B-C-D (2.6 - 15),0
ABRP,1,3,1_3,E (15.1 - 20),E,0,38583,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,3,1_3,F (20.1 - 25),F,0,38583,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,3,1_3,G (25.1 - 30),G,0,38583,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,3,1_3,H (30.1 - 35),H,0,38583,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,3,1_3,I (35.1 - 40),I,0,38583,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,3,1_3,J (> 40),J,0,38583,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,4,1_4,B (2.6 - 5),B,20,38583,2005,38188,2004,B-C-D (2.6 - 15),20
ABRP,1,4,1_4,C (5.1 - 10),C,4,38583,2005,38188,2004,B-C-D (2.6 - 15),4
ABRP,1,4,1_4,D (10.1 - 15),D,0,38583,2005,38188,2004,B-C-D (2.6 - 15),0
ABRP,1,4,1_4,E (15.1 - 20),E,1,38583,2005,38188,2004,E-F-G (15.1 - 30),1
ABRP,1,4,1_4,F (20.1 - 25),F,0,38583,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,4,1_4,G (25.1 - 30),G,0,38583,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,4,1_4,H (30.1 - 35),H,0,38583,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,4,1_4,I (35.1 - 40),I,0,38583,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,4,1_4,J (> 40),J,0,38583,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,5,1_5,B (2.6 - 5),B,3,38583,2005,38188,2004,B-C-D (2.6 - 15),3
ABRP,1,5,1_5,C (5.1 - 10),C,0,38583,2005,38188,2004,B-C-D (2.6 - 15),0
ABRP,1,5,1_5,D (10.1 - 15),D,0,38583,2005,38188,2004,B-C-D (2.6 - 15),0
ABRP,1,5,1_5,E (15.1 - 20),E,0,38583,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,5,1_5,F (20.1 - 25),F,0,38583,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,5,1_5,G (25.1 - 30),G,0,38583,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,5,1_5,H (30.1 - 35),H,0,38583,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,5,1_5,I (35.1 - 40),I,0,38583,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,5,1_5,J (> 40),J,0,38583,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,6,1_6,B (2.6 - 5),B,41,38588,2005,38188,2004,B-C-D (2.6 - 15),41
ABRP,1,6,1_6,C (5.1 - 10),C,14,38588,2005,38188,2004,B-C-D (2.6 - 15),14
ABRP,1,6,1_6,D (10.1 - 15),D,1,38588,2005,38188,2004,B-C-D (2.6 - 15),1
ABRP,1,6,1_6,E (15.1 - 20),E,0,38588,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,6,1_6,F (20.1 - 25),F,2,38588,2005,38188,2004,E-F-G (15.1 - 30),2
ABRP,1,6,1_6,G (25.1 - 30),G,1,38588,2005,38188,2004,E-F-G (15.1 - 30),1
ABRP,1,6,1_6,H (30.1 - 35),H,0,38588,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,6,1_6,I (35.1 - 40),I,0,38588,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,6,1_6,J (> 40),J,0,38588,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,7,1_7,B (2.6 - 5),B,17,38588,2005,38188,2004,B-C-D (2.6 - 15),17
ABRP,1,7,1_7,C (5.1 - 10),C,4,38588,2005,38188,2004,B-C-D (2.6 - 15),4
ABRP,1,7,1_7,D (10.1 - 15),D,4,38588,2005,38188,2004,B-C-D (2.6 - 15),4
ABRP,1,7,1_7,E (15.1 - 20),E,0,38588,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,7,1_7,F (20.1 - 25),F,0,38588,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,7,1_7,G (25.1 - 30),G,0,38588,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,7,1_7,H (30.1 - 35),H,0,38588,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,7,1_7,I (35.1 - 40),I,0,38588,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,7,1_7,J (> 40),J,0,38588,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,9,1_9,B (2.6 - 5),B,37,38591,2005,38188,2004,B-C-D (2.6 - 15),37
ABRP,1,9,1_9,C (5.1 - 10),C,1,38591,2005,38188,2004,B-C-D (2.6 - 15),1
ABRP,1,9,1_9,D (10.1 - 15),D,2,38591,2005,38188,2004,B-C-D (2.6 - 15),2
ABRP,1,9,1_9,E (15.1 - 20),E,1,38591,2005,38188,2004,E-F-G (15.1 - 30),1
ABRP,1,9,1_9,F (20.1 - 25),F,0,38591,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,9,1_9,G (25.1 - 30),G,0,38591,2005,38188,2004,E-F-G (15.1 - 30),0
ABRP,1,9,1_9,H (30.1 - 35),H,0,38591,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,9,1_9,I (35.1 - 40),I,0,38591,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,9,1_9,J (> 40),J,0,38591,2005,38188,2004,H-I-J (30.1 - 40+),0
ABRP,1,1,1_1,B (2.6 - 5),B,0,39331,2007,2006,2006,B-C-D (2.6 - 15),0
ABRP,1,1,1_1,C (5.1 - 10),C,0,39331,2007,2006,2006,B-C-D (2.6 - 15),0
ABRP,1,1,1_1,D (10.1 - 15),D,1,39331,2007,2006,2006,B-C-D (2.6 - 15),1
ABRP,1,1,1_1,E (15.1 - 20),E,1,39331,2007,2006,2006,E-F-G (15.1 - 30),1
ABRP,1,1,1_1,F (20.1 - 25),F,0,39331,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,1,1_1,G (25.1 - 30),G,0,39331,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,1,1_1,H (30.1 - 35),H,0,39331,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,1,1_1,I (35.1 - 40),I,0,39331,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,1,1_1,J (> 40),J,0,39331,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,B (2.6 - 5),B,0,39331,2007,2006,2006,B-C-D (2.6 - 15),0
ABRP,1,2,1_2,C (5.1 - 10),C,1,39331,2007,2006,2006,B-C-D (2.6 - 15),1
ABRP,1,2,1_2,D (10.1 - 15),D,1,39331,2007,2006,2006,B-C-D (2.6 - 15),1
ABRP,1,2,1_2,E (15.1 - 20),E,0,39331,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,F (20.1 - 25),F,0,39331,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,G (25.1 - 30),G,0,39331,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,H (30.1 - 35),H,0,39331,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,I (35.1 - 40),I,0,39331,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,J (> 40),J,0,39331,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,3,1_3,B (2.6 - 5),B,17,39335,2007,2006,2006,B-C-D (2.6 - 15),17
ABRP,1,3,1_3,C (5.1 - 10),C,7,39335,2007,2006,2006,B-C-D (2.6 - 15),7
ABRP,1,3,1_3,D (10.1 - 15),D,1,39335,2007,2006,2006,B-C-D (2.6 - 15),1
ABRP,1,3,1_3,E (15.1 - 20),E,0,39335,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,3,1_3,F (20.1 - 25),F,0,39335,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,3,1_3,G (25.1 - 30),G,0,39335,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,3,1_3,H (30.1 - 35),H,0,39335,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,3,1_3,I (35.1 - 40),I,0,39335,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,3,1_3,J (> 40),J,0,39335,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,4,1_4,B (2.6 - 5),B,42,39335,2007,2006,2006,B-C-D (2.6 - 15),42
ABRP,1,4,1_4,C (5.1 - 10),C,16,39335,2007,2006,2006,B-C-D (2.6 - 15),16
ABRP,1,4,1_4,D (10.1 - 15),D,3,39335,2007,2006,2006,B-C-D (2.6 - 15),3
ABRP,1,4,1_4,E (15.1 - 20),E,1,39335,2007,2006,2006,E-F-G (15.1 - 30),1
ABRP,1,4,1_4,F (20.1 - 25),F,0,39335,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,4,1_4,G (25.1 - 30),G,0,39335,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,4,1_4,H (30.1 - 35),H,0,39335,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,4,1_4,I (35.1 - 40),I,0,39335,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,4,1_4,J (> 40),J,0,39335,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,5,1_5,B (2.6 - 5),B,21,39337,2007,2006,2006,B-C-D (2.6 - 15),21
ABRP,1,5,1_5,C (5.1 - 10),C,3,39337,2007,2006,2006,B-C-D (2.6 - 15),3
ABRP,1,5,1_5,D (10.1 - 15),D,1,39337,2007,2006,2006,B-C-D (2.6 - 15),1
ABRP,1,5,1_5,E (15.1 - 20),E,0,39337,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,5,1_5,F (20.1 - 25),F,0,39337,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,5,1_5,G (25.1 - 30),G,0,39337,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,5,1_5,H (30.1 - 35),H,0,39337,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,5,1_5,I (35.1 - 40),I,0,39337,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,5,1_5,J (> 40),J,0,39337,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,6,1_6,B (2.6 - 5),B,30,39343,2007,2006,2006,B-C-D (2.6 - 15),30
ABRP,1,6,1_6,C (5.1 - 10),C,46,39343,2007,2006,2006,B-C-D (2.6 - 15),46
ABRP,1,6,1_6,D (10.1 - 15),D,3,39343,2007,2006,2006,B-C-D (2.6 - 15),3
ABRP,1,6,1_6,E (15.1 - 20),E,0,39343,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,6,1_6,F (20.1 - 25),F,2,39343,2007,2006,2006,E-F-G (15.1 - 30),2
ABRP,1,6,1_6,G (25.1 - 30),G,0,39343,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,6,1_6,H (30.1 - 35),H,0,39343,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,6,1_6,I (35.1 - 40),I,0,39343,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,6,1_6,J (> 40),J,0,39343,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,7,1_7,B (2.6 - 5),B,24,39342,2007,2006,2006,B-C-D (2.6 - 15),24
ABRP,1,7,1_7,C (5.1 - 10),C,12,39342,2007,2006,2006,B-C-D (2.6 - 15),12
ABRP,1,7,1_7,D (10.1 - 15),D,3,39342,2007,2006,2006,B-C-D (2.6 - 15),3
ABRP,1,7,1_7,E (15.1 - 20),E,0,39342,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,7,1_7,F (20.1 - 25),F,0,39342,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,7,1_7,G (25.1 - 30),G,0,39342,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,7,1_7,H (30.1 - 35),H,0,39342,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,7,1_7,I (35.1 - 40),I,0,39342,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,7,1_7,J (> 40),J,0,39342,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,8,1_8,B (2.6 - 5),B,48,39342,2007,2006,2006,B-C-D (2.6 - 15),48
ABRP,1,8,1_8,C (5.1 - 10),C,35,39342,2007,2006,2006,B-C-D (2.6 - 15),35
ABRP,1,8,1_8,D (10.1 - 15),D,2,39342,2007,2006,2006,B-C-D (2.6 - 15),2
ABRP,1,8,1_8,E (15.1 - 20),E,0,39342,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,8,1_8,F (20.1 - 25),F,0,39342,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,8,1_8,G (25.1 - 30),G,0,39342,2007,2006,2006,E-F-G (15.1 - 30),0
ABRP,1,8,1_8,H (30.1 - 35),H,0,39342,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,8,1_8,I (35.1 - 40),I,0,39342,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,8,1_8,J (> 40),J,0,39342,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,9,1_9,B (2.6 - 5),B,8,39343,2007,2006,2006,B-C-D (2.6 - 15),8
ABRP,1,9,1_9,C (5.1 - 10),C,19,39343,2007,2006,2006,B-C-D (2.6 - 15),19
ABRP,1,9,1_9,D (10.1 - 15),D,0,39343,2007,2006,2006,B-C-D (2.6 - 15),0
ABRP,1,9,1_9,E (15.1 - 20),E,1,39343,2007,2006,2006,E-F-G (15.1 - 30),1
ABRP,1,9,1_9,F (20.1 - 25),F,2,39343,2007,2006,2006,E-F-G (15.1 - 30),2
ABRP,1,9,1_9,G (25.1 - 30),G,3,39343,2007,2006,2006,E-F-G (15.1 - 30),3
ABRP,1,9,1_9,H (30.1 - 35),H,0,39343,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,9,1_9,I (35.1 - 40),I,0,39343,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,9,1_9,J (> 40),J,0,39343,2007,2006,2006,H-I-J (30.1 - 40+),0
ABRP,1,1,1_1,B (2.6 - 5),B,6,40028,2009,39604,2008,B-C-D (2.6 - 15),6
ABRP,1,1,1_1,C (5.1 - 10),C,1,40028,2009,39604,2008,B-C-D (2.6 - 15),1
ABRP,1,1,1_1,D (10.1 - 15),D,1,40028,2009,39604,2008,B-C-D (2.6 - 15),1
ABRP,1,1,1_1,E (15.1 - 20),E,1,40028,2009,39604,2008,E-F-G (15.1 - 30),1
ABRP,1,1,1_1,F (20.1 - 25),F,0,40028,2009,39604,2008,E-F-G (15.1 - 30),0
ABRP,1,1,1_1,G (25.1 - 30),G,0,40028,2009,39604,2008,E-F-G (15.1 - 30),0
ABRP,1,1,1_1,H (30.1 - 35),H,0,40028,2009,39604,2008,H-I-J (30.1 - 40+),0
ABRP,1,1,1_1,I (35.1 - 40),I,0,40028,2009,39604,2008,H-I-J (30.1 - 40+),0
ABRP,1,1,1_1,J (> 40),J,0,40028,2009,39604,2008,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,B (2.6 - 5),B,0,40028,2009,39604,2008,B-C-D (2.6 - 15),0
ABRP,1,2,1_2,C (5.1 - 10),C,1,40028,2009,39604,2008,B-C-D (2.6 - 15),1
ABRP,1,2,1_2,D (10.1 - 15),D,1,40028,2009,39604,2008,B-C-D (2.6 - 15),1
ABRP,1,2,1_2,E (15.1 - 20),E,0,40028,2009,39604,2008,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,F (20.1 - 25),F,0,40028,2009,39604,2008,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,G (25.1 - 30),G,0,40028,2009,39604,2008,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,H (30.1 - 35),H,0,40028,2009,39604,2008,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,I (35.1 - 40),I,0,40028,2009,39604,2008,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,J (> 40),J,0,40028,2009,39604,2008,H-I-J (30.1 - 40+),0
