BU,SIZE,MONYEAR,STEMS
21,I,2005,0.333333333
21,I,2007,0.333333333
21,I,2009,0.666666667
21,I,2011,0.666666667
21,I,2017,1
21,I,2019,0.666666667
21,J,1996,0
21,J,1998,0
21,J,2001,0
21,J,2003,0
21,J,2005,0
21,J,2007,0
21,J,2009,0
21,J,2011,0
21,J,2017,2
21,J,2019,0
21,SEEDLING,1996,1.333333333
21,SEEDLING,1998,1.666666667
21,SEEDLING,2001,1.25
21,SEEDLING,2003,1
21,SEEDLING,2005,1
21,SEEDLING,2007,0.666666667
21,SEEDLING,2009,1
21,SEEDLING,2011,0.666666667
21,SEEDLING,2017,2
21,SEEDLING,2019,1.666666667
22,A,1996,0
22,A,1999,0
22,A,2002,0
22,A,2004,0
22,A,2006,1.4
22,A,2008,1.2
22,A,2010,0
22,A,2012,0.6
22,A,2014,0.4
22,A,2016,0.2
22,A,2018,0.6
22,A,2020,1
22,B,1996,0
22,B,1999,0
22,B,2002,0
22,B,2004,0.4
22,B,2006,0.2
22,B,2008,0
22,B,2010,1.6
22,B,2012,1.6
22,B,2014,3.4
22,B,2016,3.4
22,B,2018,2.8
22,B,2020,2
22,C,1996,0
22,C,1999,0
22,C,2002,0
22,C,2004,0
22,C,2006,0.2
22,C,2008,0.6
22,C,2010,0.4
22,C,2012,0.8
22,C,2014,1
22,C,2016,1.8
22,C,2018,2.2
22,C,2020,2
22,D,1996,0
22,D,1999,0
22,D,2002,0
22,D,2004,0
22,D,2006,0
22,D,2008,0
22,D,2010,0.2
22,D,2012,0.2
22,D,2014,0.4
22,D,2016,0.4
22,D,2018,0
22,D,2020,0.2
22,E,1996,0
22,E,1999,0.2
22,E,2002,0.2
22,E,2004,0.2
22,E,2006,0.2
22,E,2008,0.2
22,E,2010,0.2
22,E,2012,0.2
22,E,2014,0
22,E,2016,0.4
22,E,2018,0.8
22,E,2020,0.8
22,F,1996,0.2
22,F,1999,0.2
22,F,2002,0
22,F,2004,0
22,F,2006,0
22,F,2008,0
22,F,2010,0
22,F,2012,0
22,F,2014,0
22,F,2016,0
22,F,2018,0
22,F,2020,0.2
22,G,1996,0.2
22,G,1999,0.2
22,G,2002,0.4
22,G,2004,0.4
22,G,2006,0.4
22,G,2008,0.4
22,G,2010,0.4
22,G,2012,0.4
22,G,2014,0
22,G,2016,0
22,G,2018,0
22,G,2020,0
22,H,1996,0
22,H,1999,0
22,H,2002,0
22,H,2004,0
22,H,2006,0
22,H,2008,0
22,H,2010,0
22,H,2012,0
22,H,2014,0.4
22,H,2016,0.4
22,H,2018,0.4
22,H,2020,0.2
22,I,1996,0
22,I,1999,0
22,I,2002,0
22,I,2004,0
22,I,2006,0
22,I,2008,0
22,I,2010,0
22,I,2012,0
22,I,2014,0
22,I,2016,0
22,I,2018,0
22,I,2020,0
22,J,1996,0
22,J,1999,0
22,J,2002,0
22,J,2004,0
22,J,2006,0
22,J,2008,0
22,J,2010,0
22,J,2012,0
22,J,2014,0
22,J,2016,0
22,J,2018,0
22,J,2020,0
22,SEEDLING,1996,1.8
22,SEEDLING,1999,3
22,SEEDLING,2002,2.2
22,SEEDLING,2004,2.4
22,SEEDLING,2006,2
22,SEEDLING,2008,1.4
22,SEEDLING,2010,1.2
22,SEEDLING,2012,1.2
22,SEEDLING,2014,70.6
22,SEEDLING,2016,36.6
22,SEEDLING,2018,43.4
22,SEEDLING,2020,18.4
32,A,1995,7.181818182
32,A,1999,0.727272727
32,A,2002,1.636363636
32,A,2005,1.727272727
32,A,2009,0.181818182
32,A,2012,0.3
32,A,2018,0.181818182
32,A,2020,0.090909091
32,B,1995,3.181818182
32,B,1999,20.27272727
32,B,2002,16.18181818
32,B,2005,12.54545455
32,B,2009,9
32,B,2012,7.5
32,B,2018,2.727272727
32,B,2020,1.363636364
32,C,1995,0
32,C,1999,17.72727273
32,C,2002,27.54545455
32,C,2005,31.45454545
32,C,2009,30.27272727
32,C,2012,30.3
32,C,2018,20.81818182
32,C,2020,14
32,D,1995,0
32,D,1999,0
32,D,2002,0.272727273
32,D,2005,5.727272727
32,D,2009,10.36363636
32,D,2012,14
32,D,2018,20.72727273
32,D,2020,14.27272727
32,E,1995,0
32,E,1999,0
32,E,2002,0
32,E,2005,0.181818182
32,E,2009,0.363636364
32,E,2012,1
32,E,2018,3.272727273
32,E,2020,3.727272727
32,F,1995,0
32,F,1999,0
32,F,2002,0
32,F,2005,0
32,F,2009,0
32,F,2012,0
32,F,2018,0.363636364
32,F,2020,0.181818182
32,G,1995,0
32,G,1999,0
32,G,2002,0
32,G,2005,0
32,G,2009,0
32,G,2012,0
32,G,2018,0
32,G,2020,0
32,H,1995,0
32,H,1999,0
32,H,2002,0
32,H,2005,0
32,H,2009,0
32,H,2012,0
32,H,2018,0
32,H,2020,0
32,I,1995,0
32,I,1999,0
32,I,2002,0
