PRES,BU,PLOT,BP,SIZE,SIZE(noCM),STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,GROUPS,STEMS(original)
ABRP,7,6,7_6,A (0 - 2.5),A,1,37113,2001,36567,2000,PBH (0 - 2.5),1
ABRP,7,7,7_7,A (0 - 2.5),A,2,37118,2001,36567,2000,PBH (0 - 2.5),2
ABRP,7,8,7_8,A (0 - 2.5),A,1,37119,2001,36567,2000,PBH (0 - 2.5),1
ABRP,7,1,7_1,A (0 - 2.5),A,11,38216,2004,37733,2003,PBH (0 - 2.5),11
ABRP,7,2,7_2,A (0 - 2.5),A,0,38226,2004,37733,2003,PBH (0 - 2.5),0
ABRP,7,3,7_3,A (0 - 2.5),A,6,38218,2004,37733,2003,PBH (0 - 2.5),6
ABRP,7,4,7_4,A (0 - 2.5),A,0,38229,2004,37733,2003,PBH (0 - 2.5),0
ABRP,7,5,7_5,A (0 - 2.5),A,6,38230,2004,37733,2003,PBH (0 - 2.5),6
ABRP,7,6,7_6,A (0 - 2.5),A,5,38227,2004,37733,2003,PBH (0 - 2.5),5
ABRP,7,7,7_7,A (0 - 2.5),A,0,38229,2004,37733,2003,PBH (0 - 2.5),0
ABRP,7,8,7_8,A (0 - 2.5),A,0,38253,2004,37733,2003,PBH (0 - 2.5),0
ABRP,7,4,7_4,A (0 - 2.5),A,0,39681,2008,2006,2006,PBH (0 - 2.5),0
ABRP,7,3,7_3,A (0 - 2.5),A,0,39681,2008,2006,2006,PBH (0 - 2.5),0
ABRP,7,2,7_2,A (0 - 2.5),A,0,39681,2008,2006,2006,PBH (0 - 2.5),0
ABRP,7,1,7_1,A (0 - 2.5),A,0,39680,2008,2006,2006,PBH (0 - 2.5),0
ABRP,7,8,7_8,A (0 - 2.5),A,0,39680,2008,2006,2006,PBH (0 - 2.5),0
ABRP,7,8,7_8,A (0 - 2.5),A,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,7,7_7,A (0 - 2.5),A,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,6,7_6,A (0 - 2.5),A,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,4,7_4,A (0 - 2.5),A,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,1,7_1,A (0 - 2.5),A,0,40379,2010,39965,2009,PBH (0 - 2.5),0
ABRP,7,2,7_2,A (0 - 2.5),A,0,40378,2010,39965,2009,PBH (0 - 2.5),0
ABRP,7,3,7_3,A (0 - 2.5),A,2,40378,2010,39965,2009,PBH (0 - 2.5),2
ABRP,7,5,7_5,A (0 - 2.5),A,0,40379,2010,39965,2009,PBH (0 - 2.5),0
ABRP,7,1,7_1,A (0 - 2.5),A,0,41137,2012,2011,2011,PBH (0 - 2.5),0
ABRP,7,2,7_2,A (0 - 2.5),A,0,41137,2012,2011,2011,PBH (0 - 2.5),0
ABRP,7,3,7_3,A (0 - 2.5),A,1,41137,2012,2011,2011,PBH (0 - 2.5),1
ABRP,7,5,7_5,A (0 - 2.5),A,0,41137,2012,2011,2011,PBH (0 - 2.5),0
ABRP,7,6,7_6,A (0 - 2.5),A,0,41169,2012,2011,2011,PBH (0 - 2.5),0
ABRP,7,7,7_7,A (0 - 2.5),A,0,41142,2012,2011,2011,PBH (0 - 2.5),0
ABRP,7,8,7_8,A (0 - 2.5),A,0,41142,2012,2011,2011,PBH (0 - 2.5),0
ABRP,7,1,7_1,A (0 - 2.5),A,0,42235,2015,2014,2014,PBH (0 - 2.5),0
ABRP,7,2,7_2,A (0 - 2.5),A,0,42237,2015,2014,2014,PBH (0 - 2.5),0
ABRP,7,3,7_3,A (0 - 2.5),A,1,42235,2015,2014,2014,PBH (0 - 2.5),1
ABRP,7,4,7_4,A (0 - 2.5),A,0,42245,2015,2014,2014,PBH (0 - 2.5),0
ABRP,7,5,7_5,A (0 - 2.5),A,0,42236,2015,2014,2014,PBH (0 - 2.5),0
ABRP,7,6,7_6,A (0 - 2.5),A,0,42244,2015,2014,2014,PBH (0 - 2.5),0
ABRP,7,7,7_7,A (0 - 2.5),A,0,42243,2015,2014,2014,PBH (0 - 2.5),0
ABRP,7,8,7_8,A (0 - 2.5),A,0,41946,2014,2014,2014,PBH (0 - 2.5),0
ABRP,7,1,7_1,A (0 - 2.5),A,0,42965,2017,2016,2016,PBH (0 - 2.5),0
ABRP,7,2,7_2,A (0 - 2.5),A,0,42968,2017,2016,2016,PBH (0 - 2.5),0
ABRP,7,3,7_3,A (0 - 2.5),A,1,42969,2017,2016,2016,PBH (0 - 2.5),1
ABRP,7,4,7_4,A (0 - 2.5),A,0,42977,2017,2016,2016,PBH (0 - 2.5),0
ABRP,7,5,7_5,A (0 - 2.5),A,0,42969,2017,2016,2016,PBH (0 - 2.5),0
ABRP,7,6,7_6,A (0 - 2.5),A,0,42998,2017,2016,2016,PBH (0 - 2.5),0
ABRP,7,7,7_7,A (0 - 2.5),A,10,42963,2017,2016,2016,PBH (0 - 2.5),10
ABRP,7,8,7_8,A (0 - 2.5),A,0,42964,2017,2016,2016,PBH (0 - 2.5),0
ABRP,7,1,7_1,A (0 - 2.5),A,2,43658,2019,2018,2018,PBH (0 - 2.5),2
ABRP,7,2,7_2,A (0 - 2.5),A,0,43658,2019,2018,2018,PBH (0 - 2.5),0
ABRP,7,3,7_3,A (0 - 2.5),A,0,,2019,2018,2018,PBH (0 - 2.5),0
ABRP,7,4,7_4,A (0 - 2.5),A,2,43668,2019,2018,2018,PBH (0 - 2.5),2
ABRP,7,5,7_5,A (0 - 2.5),A,0,,2019,2018,2018,PBH (0 - 2.5),0
ABRP,7,6,7_6,A (0 - 2.5),A,6,43668,2019,2018,2018,PBH (0 - 2.5),6
ABRP,7,7,7_7,A (0 - 2.5),A,116,43662,2019,2018,2018,PBH (0 - 2.5),116
ABRP,7,8,7_8,A (0 - 2.5),A,100,43662,2019,2018,2018,PBH (0 - 2.5),100
ABRP,7,1,7_1,A (0 - 2.5),A,2,44064,2020,2019,2019,PBH (0 - 2.5),2
ABRP,7,2,7_2,A (0 - 2.5),A,0,44063,2020,2019,2019,PBH (0 - 2.5),0
ABRP,7,3,7_3,A (0 - 2.5),A,0,44063,2020,2019,2019,PBH (0 - 2.5),0
ABRP,7,4,7_4,A (0 - 2.5),A,1,44062,2020,2019,2019,PBH (0 - 2.5),1
ABRP,7,5,7_5,A (0 - 2.5),A,0,44063,2020,2019,2019,PBH (0 - 2.5),0
ABRP,7,6,7_6,A (0 - 2.5),A,1,44062,2020,2019,2019,PBH (0 - 2.5),1
ABRP,7,7,7_7,A (0 - 2.5),A,103,44061,2020,2019,2019,PBH (0 - 2.5),103
