PRES,BU,PLOT,BP,SIZE,STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,SIZE_MONYEAR
ABRP,1,5,1_5,D,0,8/19/2005,2005,7/20/2004,2004,2005_D
ABRP,1,5,1_5,E,0,8/19/2005,2005,7/20/2004,2004,2005_E
ABRP,1,5,1_5,F,0,8/19/2005,2005,7/20/2004,2004,2005_F
ABRP,1,5,1_5,G,0,8/19/2005,2005,7/20/2004,2004,2005_G
ABRP,1,5,1_5,H,0,8/19/2005,2005,7/20/2004,2004,2005_H
ABRP,1,5,1_5,I,0,8/19/2005,2005,7/20/2004,2004,2005_I
ABRP,1,5,1_5,J,0,8/19/2005,2005,7/20/2004,2004,2005_J
ABRP,1,6,1_6,SEEDLING,2,8/24/2005,2005,7/20/2004,2004,2005_SEEDLING
ABRP,1,6,1_6,A,19,8/24/2005,2005,7/20/2004,2004,2005_A
ABRP,1,6,1_6,B,41,8/24/2005,2005,7/20/2004,2004,2005_B
ABRP,1,6,1_6,C,14,8/24/2005,2005,7/20/2004,2004,2005_C
ABRP,1,6,1_6,D,1,8/24/2005,2005,7/20/2004,2004,2005_D
ABRP,1,6,1_6,E,0,8/24/2005,2005,7/20/2004,2004,2005_E
ABRP,1,6,1_6,F,2,8/24/2005,2005,7/20/2004,2004,2005_F
ABRP,1,6,1_6,G,1,8/24/2005,2005,7/20/2004,2004,2005_G
ABRP,1,6,1_6,H,0,8/24/2005,2005,7/20/2004,2004,2005_H
ABRP,1,6,1_6,I,0,8/24/2005,2005,7/20/2004,2004,2005_I
ABRP,1,6,1_6,J,0,8/24/2005,2005,7/20/2004,2004,2005_J
ABRP,1,7,1_7,SEEDLING,3,8/24/2005,2005,7/20/2004,2004,2005_SEEDLING
ABRP,1,7,1_7,A,11,8/24/2005,2005,7/20/2004,2004,2005_A
ABRP,1,7,1_7,B,17,8/24/2005,2005,7/20/2004,2004,2005_B
ABRP,1,7,1_7,C,4,8/24/2005,2005,7/20/2004,2004,2005_C
ABRP,1,7,1_7,D,4,8/24/2005,2005,7/20/2004,2004,2005_D
ABRP,1,7,1_7,E,0,8/24/2005,2005,7/20/2004,2004,2005_E
ABRP,1,7,1_7,F,0,8/24/2005,2005,7/20/2004,2004,2005_F
ABRP,1,7,1_7,G,0,8/24/2005,2005,7/20/2004,2004,2005_G
ABRP,1,7,1_7,H,0,8/24/2005,2005,7/20/2004,2004,2005_H
ABRP,1,7,1_7,I,0,8/24/2005,2005,7/20/2004,2004,2005_I
ABRP,1,7,1_7,J,0,8/24/2005,2005,7/20/2004,2004,2005_J
ABRP,1,9,1_9,SEEDLING,3,8/27/2005,2005,7/20/2004,2004,2005_SEEDLING
ABRP,1,9,1_9,A,23,8/27/2005,2005,7/20/2004,2004,2005_A
ABRP,1,9,1_9,B,37,8/27/2005,2005,7/20/2004,2004,2005_B
ABRP,1,9,1_9,C,1,8/27/2005,2005,7/20/2004,2004,2005_C
ABRP,1,9,1_9,D,2,8/27/2005,2005,7/20/2004,2004,2005_D
ABRP,1,9,1_9,E,1,8/27/2005,2005,7/20/2004,2004,2005_E
ABRP,1,9,1_9,F,0,8/27/2005,2005,7/20/2004,2004,2005_F
ABRP,1,9,1_9,G,0,8/27/2005,2005,7/20/2004,2004,2005_G
ABRP,1,9,1_9,H,0,8/27/2005,2005,7/20/2004,2004,2005_H
ABRP,1,9,1_9,I,0,8/27/2005,2005,7/20/2004,2004,2005_I
ABRP,1,9,1_9,J,0,8/27/2005,2005,7/20/2004,2004,2005_J
ABRP,1,1,1_1,SEEDLING,3,9/6/2007,2007,2006,2006,2007_SEEDLING
ABRP,1,1,1_1,A,2,9/6/2007,2007,2006,2006,2007_A
ABRP,1,1,1_1,B,0,9/6/2007,2007,2006,2006,2007_B
ABRP,1,1,1_1,C,0,9/6/2007,2007,2006,2006,2007_C
ABRP,1,1,1_1,D,1,9/6/2007,2007,2006,2006,2007_D
ABRP,1,1,1_1,E,1,9/6/2007,2007,2006,2006,2007_E
ABRP,1,1,1_1,F,0,9/6/2007,2007,2006,2006,2007_F
ABRP,1,1,1_1,G,0,9/6/2007,2007,2006,2006,2007_G
ABRP,1,1,1_1,H,0,9/6/2007,2007,2006,2006,2007_H
ABRP,1,1,1_1,I,0,9/6/2007,2007,2006,2006,2007_I
ABRP,1,1,1_1,J,0,9/6/2007,2007,2006,2006,2007_J
ABRP,1,2,1_2,SEEDLING,1,9/6/2007,2007,2006,2006,2007_SEEDLING
ABRP,1,2,1_2,A,0,9/6/2007,2007,2006,2006,2007_A
ABRP,1,2,1_2,B,0,9/6/2007,2007,2006,2006,2007_B
ABRP,1,2,1_2,C,1,9/6/2007,2007,2006,2006,2007_C
ABRP,1,2,1_2,D,1,9/6/2007,2007,2006,2006,2007_D
ABRP,1,2,1_2,E,0,9/6/2007,2007,2006,2006,2007_E
ABRP,1,2,1_2,F,0,9/6/2007,2007,2006,2006,2007_F
ABRP,1,2,1_2,G,0,9/6/2007,2007,2006,2006,2007_G
ABRP,1,2,1_2,H,0,9/6/2007,2007,2006,2006,2007_H
ABRP,1,2,1_2,I,0,9/6/2007,2007,2006,2006,2007_I
ABRP,1,2,1_2,J,0,9/6/2007,2007,2006,2006,2007_J
ABRP,1,3,1_3,SEEDLING,3,9/10/2007,2007,2006,2006,2007_SEEDLING
ABRP,1,3,1_3,A,15,9/10/2007,2007,2006,2006,2007_A
ABRP,1,3,1_3,B,17,9/10/2007,2007,2006,2006,2007_B
ABRP,1,3,1_3,C,7,9/10/2007,2007,2006,2006,2007_C
ABRP,1,3,1_3,D,1,9/10/2007,2007,2006,2006,2007_D
ABRP,1,3,1_3,E,0,9/10/2007,2007,2006,2006,2007_E
ABRP,1,3,1_3,F,0,9/10/2007,2007,2006,2006,2007_F
ABRP,1,3,1_3,G,0,9/10/2007,2007,2006,2006,2007_G
ABRP,1,3,1_3,H,0,9/10/2007,2007,2006,2006,2007_H
ABRP,1,3,1_3,I,0,9/10/2007,2007,2006,2006,2007_I
ABRP,1,3,1_3,J,0,9/10/2007,2007,2006,2006,2007_J
ABRP,1,4,1_4,SEEDLING,3,9/10/2007,2007,2006,2006,2007_SEEDLING
ABRP,1,4,1_4,A,22,9/10/2007,2007,2006,2006,2007_A
ABRP,1,4,1_4,B,42,9/10/2007,2007,2006,2006,2007_B
ABRP,1,4,1_4,C,16,9/10/2007,2007,2006,2006,2007_C
ABRP,1,4,1_4,D,3,9/10/2007,2007,2006,2006,2007_D
ABRP,1,4,1_4,E,1,9/10/2007,2007,2006,2006,2007_E
ABRP,1,4,1_4,F,0,9/10/2007,2007,2006,2006,2007_F
ABRP,1,4,1_4,G,0,9/10/2007,2007,2006,2006,2007_G
ABRP,1,4,1_4,H,0,9/10/2007,2007,2006,2006,2007_H
ABRP,1,4,1_4,I,0,9/10/2007,2007,2006,2006,2007_I
ABRP,1,4,1_4,J,0,9/10/2007,2007,2006,2006,2007_J
ABRP,1,5,1_5,SEEDLING,3,9/12/2007,2007,2006,2006,2007_SEEDLING
ABRP,1,5,1_5,A,13,9/12/2007,2007,2006,2006,2007_A
ABRP,1,5,1_5,B,21,9/12/2007,2007,2006,2006,2007_B
ABRP,1,5,1_5,C,3,9/12/2007,2007,2006,2006,2007_C
ABRP,1,5,1_5,D,1,9/12/2007,2007,2006,2006,2007_D
ABRP,1,5,1_5,E,0,9/12/2007,2007,2006,2006,2007_E
ABRP,1,5,1_5,F,0,9/12/2007,2007,2006,2006,2007_F
ABRP,1,5,1_5,G,0,9/12/2007,2007,2006,2006,2007_G
ABRP,1,5,1_5,H,0,9/12/2007,2007,2006,2006,2007_H
ABRP,1,5,1_5,I,0,9/12/2007,2007,2006,2006,2007_I
ABRP,1,5,1_5,J,0,9/12/2007,2007,2006,2006,2007_J
ABRP,1,6,1_6,SEEDLING,2,9/18/2007,2007,2006,2006,2007_SEEDLING
ABRP,1,6,1_6,A,8,9/18/2007,2007,2006,2006,2007_A
ABRP,1,6,1_6,B,30,9/18/2007,2007,2006,2006,2007_B
ABRP,1,6,1_6,C,46,9/18/2007,2007,2006,2006,2007_C
ABRP,1,6,1_6,D,3,9/18/2007,2007,2006,2006,2007_D
