PRES,BU,PLOT,BP,meanPerPG,StdDevPG,MONYEAR,MONDATE,LASTBURNDATE,LASTBURNYEAR,,
ABRP,7,8,7_8,15.25,17.02900003,2001,8/16/2001,2/11/2000,2000,,
ABRP,7,8,7_8,6.65,11.0989568,2004,9/23/2004,4/22/2003,2003,,
ABRP,7,8,7_8,8.55,6.320184874,2008,8/20/2008,2006,2006,,
ABRP,7,8,7_8,21.35,14.97814197,2009,8/5/2009,Bull-Dozed 2007,2007,,
ABRP,7,8,7_8,31,17.66650116,2012,8/21/2012,2011,2011,,
ABRP,7,8,7_8,55.75,23.91184468,2017,8/18/2017,2016,2016,,
ABRP,12,1,12_1,5.3,4.206511244,1998,8/21/1998,5/3/1996,1996,,
ABRP,12,1,12_1,17.4,19.28020528,2000,8/3/2000,5/14/1999,1999,,
ABRP,12,1,12_1,6.8,7.729642192,2003,9/6/2003,5/22/2002,2002,,
ABRP,12,1,12_1,15.27777778,11.38526166,2005,8/15/2005,5/7/2004,2004,,
ABRP,12,1,12_1,5.95,10.10718869,2009,7/27/2009,5/5/2008,2008,,
ABRP,12,1,12_1,4.95,6.056531924,2011,9/30/2011,2010,2010,,
ABRP,12,2,12_2,9.1,7.758865897,1998,8/21/1998,5/3/1996,1996,,
ABRP,12,2,12_2,11.65,8.247966257,2000,8/1/2000,5/14/1999,1999,,
ABRP,12,2,12_2,14.5,21.48316354,2003,8/29/2003,5/22/2002,2002,,
ABRP,12,2,12_2,18.65,15.04825571,2005,8/27/2005,5/7/2004,2004,,
ABRP,12,2,12_2,7.9,8.084422969,2009,7/27/2009,5/5/2008,2008,,
ABRP,12,2,12_2,12,13.64204029,2011,9/29/2011,2010,2010,,
ABRP,13,1,13_1,3.15,5.575085555,2000,8/10/2000,5/14/1999,1999,,
ABRP,13,1,13_1,0.35,0.74515982,2003,9/6/2003,5/22/2002,2002,,
ABRP,13,1,13_1,5.777777778,6.887992773,2005,8/15/2005,5/7/2004,2004,,
