PRES,BU,PLOT,BP,SIZE,SIZE(noCM),STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,GROUPS,STEMSraw
ABRP,7,1,7_1,SEEDLING,SEEDLING,1,39680,2008,2006,2006,PBH (0 - 2.5),1
ABRP,7,8,7_8,SEEDLING,SEEDLING,0,39680,2008,2006,2006,PBH (0 - 2.5),0
ABRP,7,8,7_8,SEEDLING,SEEDLING,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,7,7_7,SEEDLING,SEEDLING,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,6,7_6,SEEDLING,SEEDLING,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,4,7_4,SEEDLING,SEEDLING,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,1,7_1,SEEDLING,SEEDLING,1,40379,2010,39965,2009,PBH (0 - 2.5),1
ABRP,7,2,7_2,SEEDLING,SEEDLING,1,40378,2010,39965,2009,PBH (0 - 2.5),1
ABRP,7,3,7_3,SEEDLING,SEEDLING,1,40378,2010,39965,2009,PBH (0 - 2.5),1
ABRP,7,5,7_5,SEEDLING,SEEDLING,1,40379,2010,39965,2009,PBH (0 - 2.5),1
ABRP,7,1,7_1,SEEDLING,SEEDLING,1,41137,2012,2011,2011,PBH (0 - 2.5),1
ABRP,7,2,7_2,SEEDLING,SEEDLING,1,41137,2012,2011,2011,PBH (0 - 2.5),1
ABRP,7,3,7_3,SEEDLING,SEEDLING,1,41137,2012,2011,2011,PBH (0 - 2.5),1
ABRP,7,5,7_5,SEEDLING,SEEDLING,1,41137,2012,2011,2011,PBH (0 - 2.5),3
ABRP,7,6,7_6,SEEDLING,SEEDLING,1,41169,2012,2011,2011,PBH (0 - 2.5),2
ABRP,7,7,7_7,SEEDLING,SEEDLING,1,41142,2012,2011,2011,PBH (0 - 2.5),3
ABRP,7,8,7_8,SEEDLING,SEEDLING,1,41142,2012,2011,2011,PBH (0 - 2.5),3
ABRP,7,1,7_1,SEEDLING,SEEDLING,1,42235,2015,2014,2014,PBH (0 - 2.5),3
ABRP,7,2,7_2,SEEDLING,SEEDLING,2,42237,2015,2014,2014,PBH (0 - 2.5),13
ABRP,7,3,7_3,SEEDLING,SEEDLING,2,42235,2015,2014,2014,PBH (0 - 2.5),12
ABRP,7,4,7_4,SEEDLING,SEEDLING,2,42245,2015,2014,2014,PBH (0 - 2.5),6
ABRP,7,5,7_5,SEEDLING,SEEDLING,2,42236,2015,2014,2014,PBH (0 - 2.5),9
